id,file_name,original_attribute,origin_score,unmatch_attribute,unmatch_score
41869,CMIC-111k/CT/Brain/114__6_.jpg,CT and Brain,25.31548309326172,Mamography and Breast,24.47726821899414
41870,CMIC-111k/CT/Brain/130__28_.jpg,CT and Brain,27.026086807250977,Dermoscopy and Skin,20.58407211303711
41871,CMIC-111k/CT/Brain/128__23_.jpg,CT and Brain,27.058238983154297,Endoscopy and Gastroent,22.537809371948242
41872,CMIC-111k/CT/Brain/126__21_.jpg,CT and Brain,28.69662094116211,MRI and Brain,29.23600959777832
41873,CMIC-111k/CT/Brain/67__31_.jpg,CT and Brain,28.33590316772461,Ultrasound and Carotid,24.19108009338379
41874,CMIC-111k/CT/Brain/77__37_.jpg,CT and Brain,28.449081420898438,MRI and Alzheimer,29.073074340820312
41875,CMIC-111k/CT/Brain/52__7_.jpg,CT and Brain,27.366992950439453,Fundus and Retina,23.318607330322266
41876,CMIC-111k/CT/Brain/101__31_.jpg,CT and Brain,25.125558853149414,Ultrasound and Brain,24.807594299316406
41877,CMIC-111k/CT/Brain/123__36_.jpg,CT and Brain,27.52088737487793,OCT and Retina,22.868974685668945
41878,CMIC-111k/CT/Brain/115__9_.jpg,CT and Brain,26.458892822265625,MRI and Brain,27.561767578125
41879,CMIC-111k/CT/Brain/52__13_.jpg,CT and Brain,27.48788070678711,Fundus and Retina,25.50699806213379
41880,CMIC-111k/CT/Brain/93__17_.jpg,CT and Brain,27.070852279663086,OCT and Retina,22.765731811523438
41881,CMIC-111k/CT/Brain/73__39_.jpg,CT and Brain,25.164979934692383,CT and Chest,26.251819610595703
41882,CMIC-111k/CT/Brain/123__2_.jpg,CT and Brain,25.253143310546875,Dermoscopy and Skin,19.78734016418457
41883,CMIC-111k/CT/Brain/127__15_.jpg,CT and Brain,25.524139404296875,OCT and Retina,21.668121337890625
41884,CMIC-111k/CT/Brain/55__20_.jpg,CT and Brain,26.79883575439453,CT and Heart,23.584793090820312
41885,CMIC-111k/CT/Brain/129__1_.jpg,CT and Brain,27.146135330200195,MRI and Alzheimer,28.906749725341797
